player_id,nombre,liga,eventos_total,tiros,tiros_a_puerta,goles,penales_tirados,penales_metidos,tiros_fuera_area,tiros_fuera_a_puerta,goles_fuera_area,tiros_area_grande,goles_area_grande,tiros_area_pequena,goles_area_pequena,tiros_cabeza,goles_cabeza,tiros_pie_izq,goles_pie_izq,tiros_pie_der,goles_pie_der,tiros_falta_directa,goles_falta_directa,tiros_tras_cruce,goles_tras_cruce,tiros_bloqueados,regates_intentados,regates_exitosos,regates_ultimo_tercio,regates_ultimo_tercio_ok,pases_clave,pases_clave_desde_cruce,pases_asistencia,recuperaciones_total,recuperaciones_ultimo_tercio,recuperaciones_zona_baja,entradas_total,entradas_exitosas,entradas_ultimo_tercio,intercepciones_total,intercepciones_zona_baja,aereos_total,aereos_ganados,distancia_promedio_tiro,acierto_tiros_fuera_pct,puerta_tiros_fuera_pct,pct_goles_desde_fuera,pct_tiros_desde_fuera,pct_tiros_pie_izq,pct_tiros_pie_der,pct_tiros_cabeza,pct_regates_exito,pct_aereos_ganados,pct_entradas_exitosas,xg,g_menos_xg
du57v81nq8i9229p9n3v5dz9x,Renan,Brasil B,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,1,1,0,0,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0
cui83lg0oqxe7z8dl6xvdlhhx,Thiago Heleno,Brasil B,645,7,3,1,0,0,1,1,0,4,1,2,0,6,1,0,0,1,0,0,0,7,1,4,1,0,0,0,3,0,0,22,0,21,7,3,1,5,5,31,22,14.0,0.0,100.0,0.0,14.3,0.0,14.3,85.7,0.0,71.0,42.9,1.04,-0.04
150w18iw8ozp5t8ehyf0zu4et,B. Torrealba,Chile,645,10,5,1,1,0,3,3,1,6,0,1,0,7,0,0,0,3,1,0,0,7,0,5,5,4,1,1,1,0,0,33,2,27,19,17,2,4,3,22,14,27.1,33.3,100.0,100.0,30.0,0.0,30.0,70.0,80.0,63.6,89.5,1.93,-0.93
blef70dv7v5df6u17nkq5w5ih,K. Velasco,Brasil B,644,16,9,1,0,0,9,5,0,7,1,0,0,1,1,1,0,0,0,2,0,3,1,8,27,12,12,3,13,0,0,38,8,23,15,13,0,5,4,21,4,28.3,0.0,55.6,0.0,56.2,6.2,0.0,6.2,44.4,19.0,86.7,1.26,-0.26
7px88yeahiekyph02styvoq21,Hayner,Brasil B,644,5,3,0,0,0,4,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,4,18,5,7,3,12,0,0,23,1,20,8,6,0,5,4,16,5,21.6,0.0,50.0,0.0,80.0,0.0,20.0,0.0,27.8,31.2,75.0,0.29,-0.29
6agfr3usj1pblrbq2i9mdpmcq,M. Collodi,MLS,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,1,1,0,1,1,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,100.0,0.0,0.0
bp4g52st2q734y2bwiv1y3th,Daniel Amorim,Brasil B,644,27,13,7,2,0,7,2,1,17,4,3,2,12,2,7,4,4,1,3,1,19,5,9,13,4,6,2,12,0,0,20,6,11,5,4,1,1,1,123,52,19.6,14.3,28.6,14.3,25.9,25.9,14.8,44.4,30.8,42.3,80.0,4.78,2.22
c6h84zakv4ma83ct6z9np2j56,Guilherme Mariano,Brasil B,643,2,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,1,4,1,0,0,4,0,0,29,0,27,13,10,1,9,9,31,20,19.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,25.0,64.5,76.9,0.26,-0.26
dy7g0uwaoysnvdm8ooryvcdg4,S. Flores,Argentina,643,4,2,0,0,0,2,2,0,2,0,0,0,1,0,0,0,2,0,0,0,2,0,3,4,3,0,0,1,0,0,33,1,28,20,12,0,7,4,38,18,26.9,0.0,100.0,0.0,50.0,0.0,50.0,25.0,75.0,47.4,60.0,0.34,-0.34
cdpqid0odzlenke2aucwyj1m1,F. Cardozo,Argentina,643,11,5,0,0,0,4,3,0,6,0,1,0,3,0,2,0,6,0,0,0,5,0,6,23,12,14,6,3,0,0,31,7,11,18,13,5,2,1,38,12,30.4,0.0,75.0,0.0,36.4,18.2,54.5,27.3,52.2,31.6,72.2,1.18,-1.18
