player_id,nombre,minutos,tirador_lejano_pts,tirador_lejano_medalla,cabeceador_pts,cabeceador_medalla,recuperador_puro_pts,recuperador_puro_medalla,presionador_alto_pts,presionador_alto_medalla,definidor_pts,definidor_medalla,creador_pts,creador_medalla,desequilibrante_pts,desequilibrante_medalla,muro_pts,muro_medalla,motor_pts,motor_medalla,goles,pases_clave,regates_exitosos,aereos_ganados,tiros_fuera,goles_fuera,acierto_fuera_pct,goles_cabeza,aereos_pct,aereos_total,recuperaciones_total,recuperaciones_baja,recuperaciones_alto
8z500j8o7agchtuoqjwqvgudx,Rodrigo Dourado,1776,0,,57,PLATA,57,PLATA,40,BRONCE,20,,20,,0,,27,,100,ORO,4,19,10,43,2,0,0.0,2,51.2,84,187,136,10
e0l1x96tty64cgb5u9qubc6w9,Willean Lepo,2642,13,,0,,13,,0,,0,,73,PLATA,70,PLATA,27,,10,,1,44,48,47,15,1,6.7,0,52.2,90,139,109,8
be8jrs69th2448ps5rp9wzmui,S. Zawadzki,2700,0,,10,,13,,10,,10,,0,,0,,37,BRONCE,13,,3,10,4,46,3,1,33.3,0,59.7,77,154,130,5
er3imkirhy36r2nreb9w5yqqx,Marlon Freitas,0,27,,0,,0,,0,,0,,40,BRONCE,0,,0,,0,,1,32,3,16,16,0,0.0,0,50.0,32,116,88,5
a4q12zbpltgmiuce4cae0cm0a,L. Engel,2899,20,,10,,10,,0,,0,,40,BRONCE,23,,37,BRONCE,10,,0,32,18,57,6,0,0.0,0,62.6,91,136,103,4
d9s7g70c8e5p3qmymp26ffc6i,Higor Meritão,2999,40,BRONCE,10,,23,,10,,0,,40,BRONCE,47,BRONCE,27,,43,BRONCE,1,31,21,35,30,0,0.0,0,57.4,61,178,133,9
d5v9jhi4wdu4v1irlu1nvflcl,Rodrigo,0,0,,90,ORO,0,,0,,40,BRONCE,0,,13,,70,PLATA,0,,6,7,13,154,8,0,0.0,3,70.0,220,148,123,2
cefs6b83ei4gcyuscfopw32ay,A. Yusuf,2936,27,,0,,23,,10,,0,,40,BRONCE,57,PLATA,13,,37,BRONCE,2,33,31,27,16,0,0.0,0,46.6,58,208,150,14
3vescyd2jf8wxx19q0kfedx0q,N. Eile,2610,0,,33,BRONCE,23,,10,,0,,0,,0,,27,,23,,1,4,7,51,5,0,0.0,1,56.0,91,149,126,1
dtj5zjdur2d1of2ip3ar4r88a,E. Cerrillo,2682,27,,0,,0,,10,,0,,20,,33,BRONCE,0,,13,,0,18,17,7,19,0,0.0,0,50.0,14,166,112,8
2v9a6ag22zeaezp0t32mo6i21,J. Romaña,2199,0,,60,PLATA,57,PLATA,20,,0,,0,,0,,70,PLATA,67,PLATA,1,6,9,141,1,1,100.0,0,70.1,201,175,165,2
2f846w2cjmm07ce9koce0e4gk,R. Vega,1835,13,,0,,37,BRONCE,30,BRONCE,0,,67,PLATA,47,BRONCE,0,,67,PLATA,0,38,30,15,15,0,0.0,0,44.1,34,162,137,5
4f2itu47de9upjxsi16bbpfc9,M. Pittón,2246,40,BRONCE,10,,47,BRONCE,43,BRONCE,0,,40,BRONCE,37,BRONCE,37,BRONCE,57,PLATA,2,31,21,51,26,2,7.7,0,58.0,88,218,156,16
ctiesvd76yq85nbnwfxvll39x,R. Chávez,1589,10,,43,BRONCE,33,BRONCE,10,,10,,67,PLATA,23,,37,BRONCE,63,PLATA,4,33,16,51,7,1,14.3,1,59.3,86,87,65,6
yjhnelunsv9ulnll2vd930iy,M. Carabajal,2732,0,,30,BRONCE,23,,0,,0,,0,,0,,50,PLATA,10,,0,2,5,91,0,0,0.0,0,58.3,156,129,116,0
e9ku3q311eg5t8lrxfcof65m1,C. Rotondi,1735,40,BRONCE,10,,23,,77,ORO,40,BRONCE,100,ORO,47,BRONCE,23,,77,ORO,11,54,23,25,29,2,6.9,0,61.0,41,128,82,17
a1ootdgvyfcn6u2tdmnts68ve,I. Reyes,1583,0,,20,,70,PLATA,20,,10,,0,,0,,40,BRONCE,77,ORO,3,11,8,61,4,0,0.0,0,55.5,110,147,126,3
9g7jit9xa9c5b25gfl6wy7kd1,A. Westwood,3150,13,,0,,0,,10,,0,,60,PLATA,0,,0,,13,,1,41,5,10,15,0,0.0,0,62.5,16,185,135,10
49osm19c1czaoxps98vyshhck,R. Atencio,1834,40,BRONCE,0,,27,,33,BRONCE,10,,100,ORO,70,PLATA,0,,50,PLATA,4,58,64,16,54,2,3.7,0,33.3,48,193,126,12
6yvnraewyl2f5mx6imq1mh9lh,Steven Moreira,2725,43,BRONCE,0,,20,,10,,0,,20,,23,,20,,0,,1,19,16,11,11,0,0.0,0,28.2,39,115,96,6
ahr5nuhavq12hfuk75ot67omi,J. Hernández,2153,40,BRONCE,0,,57,PLATA,20,,10,,53,PLATA,60,PLATA,43,BRONCE,37,BRONCE,3,31,34,26,31,0,0.0,0,49.1,53,197,170,6
906vjn0jo3lbnonxn9rcnq8t0,Jemmes,3274,0,,20,,0,,0,,0,,0,,43,BRONCE,40,BRONCE,0,,2,5,17,75,0,0,0.0,0,55.1,136,133,125,1
bcruvc56xwhp7kmjwnwdg26eh,B. Cuello,2393,40,BRONCE,33,BRONCE,13,,47,BRONCE,10,,87,ORO,70,PLATA,27,,27,,3,54,38,58,29,0,0.0,1,45.7,127,195,133,21
9vtmrxb9x61ve5p7mrximsn6y,M. Garay,1954,33,BRONCE,0,,37,BRONCE,20,,0,,53,PLATA,47,BRONCE,13,,47,BRONCE,1,31,32,24,10,0,0.0,0,44.4,54,184,129,9
d4wt4sy8lg2h7cr3n6yl15vpx,C. Espinoza,2692,27,,0,,0,,47,BRONCE,10,,100,ORO,60,PLATA,0,,13,,4,117,38,17,18,0,0.0,0,43.6,39,157,97,30
cebzrizhi195acmaw8c4cku09,A. Tobar,2991,40,BRONCE,13,,13,,10,,77,ORO,87,ORO,70,PLATA,13,,13,,12,92,48,24,40,0,0.0,1,46.2,52,193,144,13
1phsr51wzewsuxiwfu6ulit49,F. Álvarez,2087,0,,57,PLATA,47,BRONCE,10,,0,,0,,0,,50,PLATA,67,PLATA,2,9,8,101,6,0,0.0,2,58.7,172,152,135,2
c1s8fieakkfnw5qjahgrp38fe,Jonnathan Gabriel Mina,3176,0,,0,,0,,0,,0,,87,ORO,23,,0,,0,,1,84,12,16,8,0,0.0,0,39.0,41,159,125,11
79u84y1eb01yyp8mhpej75q1g,V. Gómez,1949,30,BRONCE,43,BRONCE,47,BRONCE,20,,0,,0,,0,,50,PLATA,57,PLATA,1,4,8,105,4,0,0.0,1,62.5,168,151,142,0
9xbr3id8px3nuwy7m8b75a6wa,F. Pereira,1078,0,,33,BRONCE,80,ORO,30,BRONCE,0,,0,,13,,47,BRONCE,100,ORO,1,7,13,50,8,0,0.0,1,58.8,85,135,122,2
6o9c5pxvbmav20lw508lpy0np,G. Velázquez,2070,0,,63,PLATA,47,BRONCE,20,,0,,0,,0,,60,PLATA,67,PLATA,1,4,9,112,1,0,0.0,1,65.5,171,171,150,1
9kefx6yccuxu5zr8e8omnermy,Luciano Juba,2881,60,PLATA,0,,13,,0,,67,PLATA,73,PLATA,57,PLATA,13,,0,,7,51,24,23,26,4,15.4,0,51.1,45,151,129,9
61j22wr5t5irba2v3v4l1rnro,L. Blanco,1621,0,,0,,37,BRONCE,53,PLATA,0,,67,PLATA,47,BRONCE,0,,67,PLATA,0,38,31,2,2,0,0.0,0,15.4,13,146,119,11
3eouj3u1dcnfl8v3lon06f07p,J. Laso,2037,20,,47,BRONCE,80,ORO,20,,0,,0,,0,,50,PLATA,57,PLATA,2,7,2,75,5,0,0.0,2,51.7,145,164,156,0
